"","ILOPROST","SIROLIMUS","METFORMIN","FLUTICASONE","IBUDILAST","RESVERATROL","LEFLUNOMIDE","PIRFENIDONE","HESPERIDIN","FENOFIBRATE","QUERCETIN","VERAPAMIL","MODAFINIL","IVERMECTIN","HYDROCORTISONE","PRAZOSIN","TRAMADOL","LIDOCAINE","PENTOXIFYLLINE","AMANTADINE","FLUVOXAMINE","TELMISARTAN","LOSARTAN","PROPOFOL","DEXAMETHASONE","AMLODIPINE","PREDNISOLONE","PIOGLITAZONE","BUDESONIDE","PREDNISONE","NALTREXONE","CHLOROQUINE","THALIDOMIDE","CELECOXIB","AMIODARONE","SIMVASTATIN","NICLOSAMIDE","TOREMIFENE","QUETIAPINE","TACROLIMUS","SILDENAFIL","ROSUVASTATIN","DIPYRIDAMOLE","CHLORPROMAZINE","IBUPROFEN","ETOPOSIDE","FLUOXETINE","MARAVIROC","ITRACONAZOLE","ARTESUNATE","FOSTAMATINIB","ATORVASTATIN","RIBAVIRIN","CLOPIDOGREL","METHYLPREDNISOLONE","AZITHROMYCIN","CYPROHEPTADINE","NICOTINAMIDE","EBSELEN","PITAVASTATIN","ARGATROBAN","MIDAZOLAM","FAMOTIDINE","VORICONAZOLE","DISULFIRAM","DIPHENHYDRAMINE","CLARITHROMYCIN","RITONAVIR","CLOFAZIMINE","METHOTREXATE","MONTELUKAST","ISOQUERCETIN","LORATADINE","IMATINIB","NITAZOXANIDE","SITAGLIPTIN","TOFACITINIB","DECITABINE","RIVAROXABAN","RUXOLITINIB","MASITINIB","LOPINAVIR","DOXYCYCLINE","ASPIRIN","GANCICLOVIR","MEFLOQUINE","AMOXICILLIN","COLCHICINE","HYDROXYCHLOROQUINE","ARTEMISININ","TRIMETAZIDINE","MELATONIN","AMBRISENTAN","PARACETAMOL","CANDESARTAN","MELPHALAN","ENZALUTAMIDE","IBRUTINIB","NINTEDANIB","BARICITINIB","REMDESIVIR","CASIRIVIMAB.AND.IMDEVIMAB","BAMLANIVIMAB"
"ILOPROST",0.500690740827149,0,0.988917840502003,0.0008160667745724,0.0033097918542259,0,0,0.00502478074038831,0.000641751460287553,0.989536935224112,0,0.0100062553824466,0,0,0,0.985219751059924,0.9901974160695,0,0,0,0,0.0028323776251932,0.987965699070049,0.989792316695774,0,0,0.00631972046244553,0,0,0,0,0.990702387908291,0.991161549539579,0.00399991010594867,0.995503626160007,0,0,0.987875251861955,0.00478286047003214,0.00233826990329243,0.985388294146071,0,0,0,0.984799505002199,0.986490337087068,0,0.00373480081461814,0,0.991172837214577,0,0,0.00581743788619867,0.00269137551643178,0.995905727245712,0.00468031522811823,0.00319475075255201,0.00356793568774035,0.00224376454554592,8.27690435579077e-05,0.000478234139693058,0,0.00434413253504736,0,0.991491873417626,0.985717462356006,0,0,0,0,0,0,0.00288914102091758,0.00475693314341884,0.989922310276857,0.0027543148651753,0.00614844851449311,0.99622023300095,0.982225508579591,0,0.995098244297502,0,0.00137769201453447,0,0.000474451738408894,0,0.9896989386267,0,0,0.00402868509283944,0.00347657729019922,0.000555976516960896,0,0,0.00665297160079362,0.00100321825333866,0,0.987734640769611,0.00267330405243997,0,0.993738788022294,0.243643035837062,-0.0166436028390773
"SIROLIMUS",0,0.500690740827149,0.99044563973088,0,0,0,0,0,0,0,0,0,0,0.00321211996407367,0.00432939014010373,0.0109135502645626,0,0.00440628923597865,0.99089722465772,0.00412367874894009,0.00593465554365607,0,0.997906079475466,0,0,0,0.000337112344988295,0,0,0,0.00452444509932761,0,0,0,0,0,0,0,0.00216399706753639,0.00514642788089477,0,0,0.000747913226797392,0,0.00164628238097567,0,0,0,0.00156858162753337,0.000996834299146036,0,0,0.00312260534387313,0,0.00378741986845684,0.000674419722008143,0,0.000485087845727934,0,0,0,0,0.0020289236341122,0,0.991957384414359,0,0.993517759182632,0,0.987899893984111,0.00135152666010918,0.00106377368524968,0,0,0.000439121465472729,0.0094764336311748,2.80726465269028e-05,0,0,0,0.0100436663496511,0.00558468239615966,0.995489610932508,0.994134613486659,0,0,0,0,0,0.00291619947057533,0,0.00807189562456512,0.0039885550951979,0.993375193876431,0.00546199864240431,0,0,0,0.994163267757087,0,0.98626204509403,0.981005071329136,0.19069758560767,0.352609093913138
"METFORMIN",0.988917840502003,0.99044563973088,0.500690740827149,0.00201161407185202,0.000549380305058533,0,0,0.000154444002840317,0,0,0,0.988563059768585,0.997931711106629,0,0.991240572696944,0,0,0,0.993317690741403,0.994438812252413,0.997208344138869,0,0.00298908971974133,0.985951378393074,0,0,0.986654222006196,0.985912224295619,0.00543990933507903,0.00314226607984517,0.988730760189727,0,0,0.991910323530523,0.988528716086328,0.0065900388767307,0,0.989263847643461,0.994325313287223,0.00194983289011312,0.00389329956827097,0.00932550193896128,0.990619857647516,0.993400383125775,0.996076440520099,0.000345759947538699,0.994852599867747,0.993954772099069,0.983771697627322,0,0,0,0.00178382719098467,0.997756578649195,0.987193624749449,0.0108263215416256,0.00366799789811826,0.003543817731619,0.000244710742288588,0.991196703387146,0,0,0.0037156714501466,0.994844162208867,0,0,0.992678190194537,0,0.00212974675462419,0.00611753562966228,0.990097698039409,0.00190847051844389,0.985546155033781,0.983598115641932,0.991417014770007,0.987662394067745,0.00330370814674115,0.985066718119924,0.987029600883389,0,0.989645852124046,0,0.991687184478222,0.00515455455652041,0.983889305748955,0.991525082209862,0.990879511367268,0.000341952613764078,0.00835845657735722,0.991634602306246,0.992516284067523,0.99037518423642,0.0074857303836464,0.989007599671436,0,0.00768873348684842,0,0.983991216877546,0,0.00353313439787609,0,-0.0472493208301006,-0.150209225273654
"FLUTICASONE",0.0008160667745724,0,0.00201161407185202,0.500690740827149,0.00826007071407846,0,0,0,0,0,0,0.993392055184869,0.986642944569978,0,0.989200174806941,0,0.991875792996624,0.993042918289819,0.00125279064566017,0,0,0,0.00354020957767205,0,0.00281065370982549,0,0,0,0.991740832308926,0.000345959417921436,0.00421971736373031,0.00271284925214767,0.984395583004643,0.00379813478221257,0.000166295114139511,0,0,0.00100940406929498,0,0,0,0,0.993333583216952,0,0.99210133734671,0,0,0.00632947915380873,0,0.00352535487368558,0.00526234106170821,0,0.00551667260214296,0.000218601454173713,0.988555617973871,0,0,0,0,0,0,0,0.000573189968685104,0,0,0.000894275146426031,0,0,0,0,0,0.00691617504112618,0,0.000548418788058017,0,0,0.0064419092983204,0.994987841491297,0,0,0,0.00718490131855488,0,0,0,0.989448975363222,0.986229691353052,0,0.991488733327999,0,0,0,0,0.993894728468695,0,0.00749007655617232,0.00186832285359957,0,0,0.00868166632335341,0.00283009481513219,0.137315218871833,-0.00372892120936785
"IBUDILAST",0.0033097918542259,0,0.000549380305058533,0.00826007071407846,0.500690740827149,0,0,0.986747137551984,2.98746655607375e-05,0,0.992305388793397,0.992589302255963,0.00175732008726621,0,0,0.00722305989053277,0,0.990315016391567,0,0,0,0.00326657319767345,0.00102814592024961,0.00750937848323496,0,0,0,0,0.985804298486139,0.00448807891776459,0.00271892038248921,0,0,0,0,0.9857395998888,0,0,0,0.0051308425866444,0,0,0.985173094484431,0.00293075502285609,0,0,0,0,0.995360609302512,0,0,0,0.00626708397923162,0.00526738584281086,0,0,0,0,0.00144347868676458,0,0,0.00183161434525951,0.00341223099778963,0.00249021470824988,0.996887999471905,0,0,0,0,0.984799553252229,0.0102028161814642,0.00102509923034649,0.990291043532527,0,0.00323004274055002,0,0.0070854212579025,0,0.000289973785847573,0,0.00422293012965649,0.00318582327889851,0.00480632157230998,0.00174023432381302,0.000351018648959546,0.00681781852478539,0.987697530762819,0,0,0,0.98905473440267,0.99170181904382,0.992998671448037,0.988692500470435,0.00498810925657869,0,0.995681034256448,0,0,0.00465694574451322,0.989134986206927,0.211324155786294,-0.218756727639921
"RESVERATROL",0,0,0,0,0,0.500690740827149,0,0.996057622174064,0.00172199877100347,0,0.00186415774083946,0.00179608231924496,0.00529367521693924,0.993163279898827,0.000230717981192867,0.00454121480064288,0,0,0.00102144724030802,0.987171587391879,0.00443608923118557,0,0,0,0,0,0,0,0.000607009259924349,0,0,0,1.00825312206617e-05,0.00460435404565975,0,0.00858815696346404,0,0,0.00236620851786637,0,0,0.000674056911873252,0.0028299309842244,7.00680208175962e-05,0.991673161874798,0.002727166757383,0.0048349402839386,0.989723870639091,0,0,0,0,0.00423478966277364,0,0,0.00297585228659455,0.00334819129288668,0,0,0.00124710268424498,0,0,0,0.00630745556748491,0,0,0,0,0.000782841215716841,0.00517985903316631,0,0,0,0,0,0.0054868044494167,0,0.000284414118785218,0.0154570879147607,0,0.992075954160676,0.97971125447147,0.00217215408734408,0,0,0.00875721106117971,0.00105868597216722,0,0,0,0,0.00720860079042954,0,0.00896511884604989,0,0.00719494291752346,0.996203763223859,0,0,0,0.00234206616785803,0.280930174164412,0.228774968435435
"LEFLUNOMIDE",0,0,0,0,0,0,0.500690740827149,0,0.00218999216134354,0,0,0.00241238572098891,0.00175580836388389,0,0.00124290988318472,0.00410111338051997,0,0,0,0.00241895055567279,0.993011403295671,0,0.000196550742466726,0,0,0.992777623216543,0,0.000115326006372639,0,0,0,0,0,0.00546764917844045,2.77078873994415e-06,0.00245311450503432,0,0.00258603400977937,0.98869708199867,0,0.992423621611371,0.00143081771002764,0.000370837154041862,0.992768535661782,0,0,0.991589985065686,0,0.989445608516462,0,0,0,0.988979315586286,0,0.98853024681552,0.00392879580409365,0,0.994497038159666,0.00821369292532219,0,0,0.00189707402568971,0.00415727609339299,0.00351425085296264,0.984519220723387,0.000361411588412004,0,0,0.993474921382084,0,0,0,0,0.000802771041849821,0,0,0.991396397681621,0,0.989350945811275,0,0,0.00799186509016485,0.00299378281465038,0.00207527366352332,0.00153062213231509,0.00220687048403049,0.992285935198258,0,0,0,0.00649104131983863,0.00360407428780421,0.997366969895303,0.00348852943616958,0.0014215648585608,0,0.00281241204170592,0,0.00061866773054752,0.0102650928797259,0.980974043125357,0.0578959728594954,-0.100391580591471
"PIRFENIDONE",0.00502478074038831,0,0.000154444002840317,0,0.986747137551984,0.996057622174064,0,0.500690740827149,0.00229856454802483,0,0,0.00348878452314817,0.98127286641586,0,0.993397889732044,0.99415744514669,0.0023841378294813,0.00744925554928652,0.00908062826925316,0,0.00382980413391937,0.00393822325963943,0.984198055830394,0.00330230613251335,0,0.00319068954010371,0.00942125137722771,0,0,0.00580594898462299,0,0.996102701734464,0.99270488399992,0,0,0.00231199606512967,0.00294297443171907,0.00112868553890806,0,0.00486225838679677,0.0106117878603329,0,0.990429188029451,0,0,0.0016602401431748,0,0.00526096779358249,0.00256901487498269,0,0,0.00308176962043492,0.00446247996752436,0,0,0.99702448719551,0.988392160330878,0.00127932586759396,0,0,0,0,0.000412475230567371,0,0.00382020708184106,0,0.00553762409949544,0.0029695230940358,0,0.00269172661498342,0.987396169631536,0,0.0023902936112987,0.00127578073084061,0.00229569749554427,0.0057596036738454,0.990660320091649,0,0,0.00892569363357512,0,0.00668236736084543,0.00523232674072105,0,0,0.00242621795806635,0,0.989692795800796,0.985343289117067,0.992146937717994,0.996325752337112,6.09658035370533e-05,0,0.00276844850673817,0.00193163566403834,0,0.00782568360915962,0.00150605129903728,0,0,0.00771191558089271,0.203789579816354,-0.109097314123993
"HESPERIDIN",0.000641751460287553,0,0,0,2.98746655607375e-05,0.00172199877100347,0.00218999216134354,0.00229856454802483,0.500690740827149,4.98934520366837e-05,0,0.00535036148425573,0.991743835519723,0.00418089099284001,0.98416620876605,0.00610074009877709,0,0.00185437353677569,0.00455394569070183,0.983591676240079,0.0046994496255545,0.00603361116793256,0.00486749347756983,0.00699165706685443,0,0.997790493504924,0,0.00465765127409443,0,0.00448250282026328,0.00177506234941939,0.987344558111663,0.00678151513917861,0,0.00257319887379911,0,0,0.00525034925989864,0,0,0.981279532889326,0,0,0,0.988872306160257,0.00523877013039314,0.00372675768120742,0.983074775989674,0.00413016629574049,0.000710073877835847,0,0,0.0101863089173048,0.00372237960538497,0.000707677090627447,0.992812419745341,0.992542920460862,0,0,0,0,0.000237851104526289,0.987361488048339,0.00284921246352341,0.981637128589473,0.990867121050547,0,0.98949460160072,0.00156272697287805,0.00133090382895012,0,0.000774212473775742,0,0,0,0.992950024072736,0.991475562353256,0.986212176037261,0.00011699573611903,0.989643440689294,0.00295442998515245,0.990639807087165,0.000747071378044339,0,0.00717337366225451,0.00503544119119296,0.000841536121568587,0.00323696841319582,0.994813727001231,0.996581257522151,0,0.998926947649545,0.00559395597398717,0.0037312974218525,0.0159342551547701,0,0,0,0.00112876852255804,0.0030870563081875,0,0.0680164471930341,0.200144167616951
"FENOFIBRATE",0.989536935224112,0,0,0,0,0,0,0,4.98934520366837e-05,0.500690740827149,0,0.987616282125015,0.992561942719975,0.993360677877365,0.000138401321749655,0.00770965927482422,0,0.000821284912095716,0,0.00346382937983818,0,0.00387550890886428,0.992834862631203,0.00706218648740475,0.00434379472743348,0,0.00182303772308815,0,0,0,0.991039714017722,0.988327221172011,0.988920282020788,0,0.991576073761542,0.994556016423541,0.00955591683764817,0.991207976005467,0,0.00210018017034718,0.992406987358193,0,0.993052797494306,0,0.992101329428842,0,0.00542236078144048,0.0016845295454478,0.996595183558143,0.99485659796461,0.00418938923619485,0.00675814048712811,0.000384857440488654,0.993804087623664,0.00485530312585998,0.00172781451415774,0.987204386878938,0.989793504929733,0.99087194532208,0.0014384090300757,0.00565362073047692,0.000987725991169802,0,0.000292060679584853,0,0.992491650049343,0.993710609847411,0,0,0,0.00855485926009387,0,0.011545788047259,0.991644246800532,0,0.00278604359204011,0.000571648303997997,0,0.00237770470603031,0,0.989145037102519,0,0.00104805966875264,0.991013513827458,0.00109485842281499,0.997978848762794,0.993552450543574,0.00257429245298662,0,0,0,0.989701262871091,0.00305928474241785,0.00246222586912137,0.99506170332818,0.993568017504266,0.984416095073071,0,0.989817941386252,0.00496476087594093,0,0.0197976275935191,-0.238235116439726
"QUERCETIN",0,0,0,0,0.992305388793397,0.00186415774083946,0,0,0,0,0.500690740827149,0,0.00113626473008547,0.00291722812251995,0.998522961551682,0.00407690607129927,0,0.988591237841097,0.00343262676665768,0.00409561291719301,0.00592063443360742,0,0,0,0,0.0020199616938986,0,0,0.00560569859863105,0,0,0.994213261435165,0.00153116287886355,0,0.994469705463204,0,0,0,0.991196730272877,0,0.990757731963094,0,0,0,0,0.00296775140840034,0.00091817991492625,0,0,0,0,0.00129254047156998,0,0,0,0.000794419021177241,0.000228155589881206,0,0,0,0,0,0,0.00573793585102649,0.0035666623991203,0,0.00426122934838332,0,0,0.00496922888364985,0,0.00509316593837288,0.00149471348661553,0.00162862609816276,0,0,0,0,0,0,0,0,0.00553783449786965,0,0.00140281483478987,0.988096586870836,0,7.12097285513434e-05,0.00229590979308826,0.993782468890483,0.993515664592591,0.990998990479569,0,0.00124103536183667,0,0.00515829064278138,0,0,0,0.982302702309273,0.008144197605975,0.279108627255844,0.044410888383555
"VERAPAMIL",0.0100062553824466,0,0.988563059768585,0.993392055184869,0.992589302255963,0.00179608231924496,0.00241238572098891,0.00348878452314817,0.00535036148425573,0.987616282125015,0,0.500690740827149,0.997197489608472,0,0.994772384175825,0.986731598666473,0,0.989099102376478,0.993538810531483,0,0.000701785681014964,0.00399280235289157,0.988206438786881,0.989231576425715,0.992172571784181,0.992137593642714,0.00402916424838779,0.992322384727687,0.0048010165462457,0.983842816471188,0.993312477363483,0.0027765379472642,0.994140933545875,0.992155766861512,0.990147928523414,0.00457665901197948,0,0.994783288314396,0.006126745427787,0.000127592291353327,0.000395640562563688,0.00605671593399053,0.989354678518698,0.990809518414479,0.983458049666757,0,0.998332279172212,0.992750144905104,0.988220753481377,0.99281104556835,0.992647035325754,0.991577903796033,0.00775747639617014,0.990731446532971,0.00474728862074202,0,0.00611492542221406,0,0.00103786672897892,0.989765738948737,0.00563950011139281,0.000670386846182402,0.991130410330365,0.986669563013132,0.993734149445446,0.983122535442354,0.00783319964632217,0.9959219227951,0,0.000705032634839289,0.00190180988751361,0,0,0.990607133382843,0.998862266457518,0.983695821086173,0.993723506052028,0.00158897605929338,0.983912853238827,0,0,0,0.000382502619467683,0.00444052576657895,0.98767103165423,0.989449202425982,0.99303738342248,0.00401443018759671,0.990231858704906,0.98592959454551,0.987753825201974,0.996106744878909,0,0.988833349913022,0,0,0,0.00185406996779654,0.986168394499832,0.0147384860814841,0.00777353832091615,-0.105604684576034,-0.197370459163002
