"","iloprost","sirolimus","metformin","fluticasone","ibudilast","resveratrol","leflunomide","pirfenidone","hesperidin","fenofibrate","quercetin","verapamil","modafinil","ivermectin","hydrocortisone","prazosin","tramadol","lidocaine","pentoxifylline","amantadine","fluvoxamine","telmisartan","losartan","propofol","dexamethasone","amlodipine","prednisolone","pioglitazone","budesonide","prednisone","naltrexone","chloroquine","thalidomide","celecoxib","amiodarone","simvastatin","niclosamide","toremifene","quetiapine","tacrolimus","sildenafil","rosuvastatin","dipyridamole","chlorpromazine","ibuprofen","etoposide","fluoxetine","maraviroc","itraconazole","artesunate","fostamatinib","atorvastatin","ribavirin","clopidogrel","methylprednisolone","azithromycin","cyproheptadine","nicotinamide","ebselen","pitavastatin","argatroban","midazolam","famotidine","voriconazole","disulfiram","diphenhydramine","clarithromycin","ritonavir","clofazimine","methotrexate","montelukast","isoquercetin","loratadine","imatinib","nitazoxanide","sitagliptin","tofacitinib","decitabine","rivaroxaban","ruxolitinib","masitinib","lopinavir","doxycycline","aspirin","ganciclovir","mefloquine","amoxicillin","colchicine","hydroxychloroquine","artemisinin","trimetazidine","melatonin","ambrisentan","paracetamol","candesartan","melphalan","enzalutamide","ibrutinib","nintedanib","baricitinib","remdesivir"
"iloprost",NA,-1.97938415389883,1.97510710677073,0.00162988189720514,0.00661045149099038,-1.98537606970332,-0.00341626675798079,0.0100356973490009,0.00128173223101224,1.97634358803876,-0.0030353873729887,0.0199849019894319,-0.0130702859065502,-1.98218476292244,-1.9907463981221,1.96772113147594,1.97766272736276,-1.97523472851636,-1.98228568132981,-0.00542063838184348,-1.98360555736002,0.00565694029115471,1.97320545100937,1.97685364634589,-0.00397669051375837,-1.99110046148213,0.0126220038581206,-0.000685945077186667,-0.0226604098406527,-0.00524736731599162,-0.00276490787179628,1.97867127774649,1.97958833411252,0.0079887838535635,1.98826050690576,-1.98954278377481,-1.98893285612662,1.97302480615074,0.00955252430298748,0.00467008816546033,1.96805775261231,-1.9900870025848,-0.00331048698740022,-1.98091728626154,1.96688179888307,1.97025879779077,-1.98743820120085,0.00745929674762547,-0.00593872978711751,1.97961087831811,-1.9895060727662,-1.98705244924691,0.0116188245793964,0.00537532511982464,1.98906359961932,0.00934771675702706,0.00638068670348135,0.00712602690005026,0.00448133820457552,0.000165309714777573,0.000955148758898572,-1.98353955294519,0.00867627894989786,-0.00482472185754057,1.98024807045496,1.96871518080719,-0.000526401388851738,-1.98657873790918,-0.0107276370038051,-1.98080458649471,-1.98809370912657,-1.99083935041787,0.00577031046378984,0.00950074118718536,1.97711327483606,0.00550103015810743,0.0122799325274835,1.98969174336074,1.96174090808418,-0.00915856090120759,1.98745086169076,-0.00412124932992974,0.00275158276795473,-0.00092295458669156,0.000947594392548767,-0.000574933494311258,1.97666714785199,-1.99106698188047,-0.00140021824680692,0.00804625443279416,0.00694356217663594,0.0011104190104303,-1.98516745789224,-0.00216114706212833,0.0132875866444081,0.0020036684754372,-0.00286532907935433,1.97274397193337,0.00533923205374964,-1.97716564273007,1.98473570008629
"sirolimus",NA,NA,1.97815848979881,-1.99776629844753,-1.98447043093789,-1.98951454380418,-1.98752654068654,-1.97839353296599,-1.96969750696553,-1.99149805309178,-1.99311340475961,-1.97422650605542,-1.97454703768768,0.00641537720223706,0.00864683483651307,0.0217969883895461,-1.99393076686751,0.00880042085200017,1.97906041366122,0.00823597964309808,0.0118529364730251,-1.99506813824373,1.99305878480379,-1.98936804403032,-1.99276229236174,-1.98325750924334,0.000673294545913472,-1.99452136746673,-1.99430616184067,-0.00086815001741869,0.0090364065687597,-1.99726114064798,-0.00900569153906927,-1.99325289239226,-1.98643450924352,-1.990979752445,-1.98595886884864,-1.98250861742719,0.00432202333912035,0.0102786559871125,-1.99009980605303,-1.98965848085252,0.00149376284762492,-1.98362026092864,0.00328802241930015,-1.98708947402631,-1.98743080899304,-0.00293252911124076,0.00313283530057307,0.00199091818134933,-0.0031634677290483,-1.99030767341926,0.00623659494624274,-1.98421081010339,0.00756438967135675,0.00134697861776711,-1.97204040664816,0.000968837260554412,-1.99322397905508,-1.99085001723918,-0.00128211696891423,-0.000435834581177685,0.00405224916035074,-1.98391591026834,1.98117780803302,-0.000537879186781609,1.98429425225904,-0.00176798556561053,1.9730740224037,0.00269932425328345,0.00212461225764293,-1.99270266773482,-0.000661049312355999,0.000877031328255229,0.0189267203454164,5.60678363664691e-05,-1.98392337736152,-0.00578807187283747,-0.000170390124947795,0.0200596207013112,0.0111539558069991,1.9882325151209,1.98552625887256,-0.000383648163958861,-1.97475529313816,-1.97897132947345,-1.97575844362291,-1.98673358079695,0.00582435270474091,-1.98547148849387,0.016121519665473,0.00796610516225793,1.98400951500593,0.0109089268025628,-0.00335474505233824,-1.98270536907021,-1.98766273176539,1.98558348835194,-1.97671205815164,1.96980284369691,1.95930340095465
"metformin",NA,NA,NA,0.00401767779553663,0.00109724478657414,-0.00369389903380757,-1.97255697575744,0.000308461871264432,-1.98447523521785,-0.000859845927100977,-1.98454537261878,1.97439852419772,1.99310997734456,-0.00182827520563966,1.97974616239038,-0.000585751610810981,-1.97982915172977,-1.96784298578715,1.98389466739574,1.98613381707356,1.99166523928816,-1.98412861387333,0.00596993208782592,1.96918236747152,-0.000402517092083055,-0.00452685512263173,1.97058611544569,1.9691041673087,0.0108648091356597,0.00627586217123588,1.97473346232912,-0.00654046993820712,-0.00201695080396747,1.98108381611346,1.97432993159263,0.013161894837208,-0.0015036789222671,1.97579816636749,1.98590713230403,0.00389428589570473,0.00777585693284277,0.0186252734044081,1.97850644493844,1.98405982400366,1.98940455514429,0.000690565890967942,1.98696025060147,1.98516707230703,1.96482902000967,-0.0109403025757095,-1.98614038586706,-0.00905234116764408,0.00356273253233674,1.99276019564669,1.97166343263826,0.0216227716209418,0.00732587523399908,0.00707785753290457,0.000488746290543185,1.97965854481286,-1.98353749365304,-1.96990654830189,0.00742109079949882,1.98694339856449,-0.000290430147171228,-4.16572956613015e-05,1.98261743078096,-0.00540385913906427,0.00425361721510131,0.0122181920511572,1.97746356643974,0.00381167527741988,1.96837303882561,1.9644823349779,1.98009855970608,1.97259967786924,0.00659830086189206,1.96741548783702,1.97133583747285,-0.0132464090766087,1.97656112132039,-1.98160876929124,1.98063815368333,0.0102948869156338,1.9650639117543,1.98031439641134,1.97902503595397,0.000682961728429743,0.0166938509059483,1.98053313442156,1.98229406525048,1.97801777320728,0.0149508065023928,1.97528637745044,-0.0136378218795649,0.0153562525924616,-1.97592245397174,1.96526745282323,-0.0022462300028977,0.00705652034235604,-1.97158158353273
"fluticasone",NA,NA,NA,NA,0.016497350640902,-1.99535664949298,-1.99876584519875,-1.98128635862763,-1.98257395480891,-1.9846447604253,-1.99460378574713,1.9840431910999,1.97056359168941,-1.9892185552226,1.97567099637746,-1.98672344964763,1.98101485032064,1.98334588063142,0.00250212465201682,-1.96850937924756,-1.97725688171187,-1.99258409614575,0.00707065118045436,-1.97666200156526,0.00561355239999495,-0.00318688922038179,-1.98853681930981,-1.99584034406107,1.98074530132224,0.000690964281364392,0.00842779188758169,0.00541821334196435,1.96607506936998,0.00758578993479686,0.000332131394850221,-1.99414702523025,-1.99408206560603,0.00201602303974591,-1.98560021543401,-1.99086285518718,-1.98959175723077,-1.99016435411016,1.98392640849709,-1.99439356895874,1.98146531670976,-0.00187646242904194,-1.99170539624399,0.0126414943151382,-0.00295799282598208,0.00704098275886156,0.0105101625267021,-1.99390357801772,0.0110181238682971,0.000436599753797284,1.97438366114133,-1.98567373840468,-1.98828316923726,-1.9901058832612,-1.99145026352144,-0.00116152516442969,-1.9816197254466,-1.98665951313498,0.001144798419356,-1.98204397890615,-1.97611864051415,0.00178608285215875,-1.98637075884909,-0.00558062217435673,-0.000374803988960393,-1.98705830487183,-1.99086703432643,0.013813267306882,-1.99670673757434,0.00109532440554427,-1.99456237997441,-0.00613569576347939,0.0128660443923494,1.98723036069643,-1.98330799610856,-0.00713638785350001,-1.99449802354427,0.0143499784052034,-1.9865617904331,-1.97469086306086,-1.98161127964451,1.97616791101157,1.96973822548383,-0.00292546309364961,1.98024179893969,-1.98156071571945,-0.00156828334459336,-1.9846652203366,-0.0046089777560695,1.98504715071576,-1.97681893683021,0.0149594868556958,0.00373149072122458,-1.99353735583785,-1.98477061436151,0.0173393786132557,0.0056523809696517
"ibudilast",NA,NA,NA,NA,NA,-1.99064574393431,-1.98969529570876,1.97077169016919,5.96669023904539e-05,-0.00656850991602698,1.98187285659426,1.98243990015911,0.00350979146201724,-1.98066354277824,-1.99127841950694,0.0144261902638746,-1.991808995474,1.97789760352978,-1.98760532832671,-0.000951216377156894,-0.00128735801334101,0.00652413342471048,0.00205345503004728,0.0149980374528783,-1.99464943554297,-1.97919979439991,-1.98212836877924,-1.9897190354259,1.96888861347341,0.00896377454544139,0.00543033885147848,-1.99353783672855,-0.00155027020511989,-1.98130886986945,-1.98717488987356,1.96875939479197,-0.00494472796508028,-1.98419309124855,-1.9733760708271,0.0102475284008012,-1.99426496006482,-1.97910810972479,1.96762794705752,0.00585342364832719,-1.99368228529079,-0.00917655597763256,-0.000406366730287711,-1.97798643649464,1.98797486779596,-1.9809243294334,-1.98752989189297,-0.0108113362056734,0.0125168761237292,0.0105202381695916,-1.9834815937972,-1.99235441501159,-1.99185974019872,-1.97414501645776,0.00288297459701359,-1.98843809588124,-0.00413115468242453,0.00365817498888366,0.00681504713299186,0.00497355853662484,1.99102543383373,-8.77979658548966e-05,-0.00397669345033103,-1.99062123426,-0.00325569039568196,1.96688189525,0.0203774812464257,0.00204737005652034,1.97784972395645,-0.00162678579454989,0.00645117330353251,-1.98777698731863,0.0141512927644663,-1.98753091037588,0.000579147490062493,-0.0129328744510222,0.00843420855492583,0.00636285638842748,0.00959938177480546,0.00347566707732228,0.000701068784255243,0.013616825654739,1.97266985431192,-0.00577653374656717,-0.00190891202626176,-0.00303550661558383,1.97538051686104,1.98066738243554,1.9832575090316,1.9746570484549,0.00996245556356457,-1.99274625076627,1.98861483360281,-1.97919229047169,-1.99115731733221,0.00930104226976491,1.97554079904266
"resveratrol",NA,NA,NA,NA,NA,NA,-1.98771456357396,1.98936697037489,0.00343924628635772,-0.0133489446563874,0.00372317198788186,0.00358720897510068,0.0105727443814799,1.98358627175351,0.000460799376500787,0.00906989970124217,-1.99542644994135,-1.98336793427382,0.00204007615283752,1.97161941872753,0.0088599386197098,-1.99177260543732,-0.00387554382640276,-1.98123037561968,-1.98911648302921,-1.99110223413196,-1.98844217049737,-1.99656836498331,0.00121234368928325,-1.99353169088344,-1.99220106728935,-1.98374009722004,2.01372432092617e-05,0.00919600398052756,-1.98670885148832,0.0171526178999761,-1.99294379553813,-1.98186084799966,0.00472588830773535,-0.000434126553365055,-1.98965161446817,0.00134625399854549,0.00565205375987043,0.000139942713344055,1.98061014716697,0.00544680884826765,0.00965654023469897,1.97671694308557,-1.98352675130333,-1.98952259879254,-1.9948410828495,-1.9903364646772,0.00845789489891047,-1.97812993959039,-0.00122334156597725,0.00594349374561709,0.00668714441843965,-0.0164325263849208,-1.99037730428203,0.00249076442313423,-0.00737694119986065,-1.9915664802372,-1.98473997417322,0.0125975079089038,-0.00212140717554721,-1.97923513956983,-1.99242042331304,-0.00100217004926695,0.00156352245384761,0.0103454260500386,-1.99565637855313,-1.98700608728798,-1.99775244474833,-1.98690058664263,-1.99431889324444,0.0109584699736057,-1.98995892741654,0.000568043495902004,0.0308715273808046,-1.99231545700184,1.98141462037375,1.95671933707616,0.00433831487228153,-0.000206247092655376,-0.00235857870360245,0.0174902596495247,0.00211445086924966,-1.98074298639905,-1.98032388184413,-1.99443168173336,-0.0044463289423029,0.0143973119585172,-0.00583750699229468,0.0179055015701696,-1.99317022812397,0.0143700338968468,1.98965884924917,-1.9906395016991,-1.99202754965818,-1.99741866030035,0.00467767022012211
"leflunomide",NA,NA,NA,NA,NA,NA,NA,-0.00713263518259621,0.00437394180233019,-0.00284686435904591,-1.99572016909779,0.00481811530407694,0.00350677218632656,-1.99167566892442,0.00248239038958742,0.00819091116753001,-1.99576842321668,-0.00175615950580632,-1.99020209859369,0.00483122686007065,1.98328293759777,-0.00378749518347166,0.000392559171639606,-1.99015636382588,-1.98990040665664,1.98281602247419,-1.98861642965939,0.000230333810811278,-1.99243973321127,-1.98179165597004,-1.98607426860246,-0.00236944758278124,-0.0141176668635109,0.0109202122839496,5.53393245372735e-06,0.00489946049527845,-0.000764863953009232,0.00516493275970553,1.97466619887024,-1.99397995717636,1.98210899600794,0.00285768757709381,0.00074065111216004,1.98279787243861,-1.97768610201067,-1.99451502300392,1.98044402304617,-0.0015704213296317,1.97616118660769,-1.9903954994251,-1.99716790306182,-1.98757978862541,1.97522988732022,-1.98113035537217,1.9743329888275,0.00784675146499259,-1.98749252968887,1.98625010823396,0.0164047230267391,-0.0036845090900558,-0.00559591225129108,0.00378891373656265,0.00830308163183746,0.00701880535509214,1.96632200367226,0.00072182598746473,-1.9926655049984,-1.99221116645198,1.98420869485393,-0.00255358992930155,-1.9905833503003,-1.99152385180749,-1.98968706139605,0.00160332711670208,-1.9897337929133,-1.98449794983791,1.98005738241498,-1.99072093394395,1.97597212238607,-1.99427400152434,-0.0106486499211059,0.0159616794130488,0.00597930532868374,0.00414482133241556,0.00305702104613814,0.00440765187785319,1.9818340030794,-0.0019878781084951,-1.98924015304177,-1.99091235141405,0.0129641728726905,0.0071982043883021,1.99198205312852,0.00696743349079409,0.00283920740417998,-0.00836334177053888,0.00561706421225161,-0.00129294070351449,0.00123562846304182,0.0205018628120979,1.95924143015861
"pirfenidone",NA,NA,NA,NA,NA,NA,NA,NA,0.00459078700801929,-0.00925070581516374,-0.00406048678865745,0.00696794296092762,1.95983825224086,-1.97536587703404,1.98405484409585,1.98557185919661,0.00476169746127653,0.0148779574732703,0.0181362017085673,-0.00882237606160663,0.0076490412576683,0.00786558036430518,1.9656805600289,0.00659550070180626,-1.9933927094645,0.00637257548408554,0.018816508093726,-1.9819419448485,-1.98346132072972,0.0115958784758661,-1.98775683491726,1.98945700511435,1.98267074473947,-0.0017124708562346,-0.00632209241428716,0.00461761298263719,0.00587782875085174,0.00225425686331537,-1.98363519417623,0.00971110106562834,0.0211942961893046,-1.98036423378438,1.97812563178869,-1.99213642821202,-0.00106154500653555,0.00331589943211663,-1.98448640704241,0.0105074197795056,0.00513094144848503,-1.96699192002075,-0.00532567110838567,0.00615503617131763,0.00891264727634522,-1.98739472222861,-1.98673868370845,1.99129803269062,1.97405719685976,0.00255512188118456,-0.00195010655608152,-0.00432876710807306,-0.000226615448519096,-1.98061508841793,0.000823812379445954,-0.00258097002309521,0.0076298736332332,-1.99247149105198,0.0110599690546448,0.00593085282370132,-1.97751558626644,0.00537602634819379,1.9720679635504,-1.99087793447978,0.00477399204017614,0.00254804138924758,0.00458506081369059,0.0115033157280489,1.97858725818469,-1.98722126679291,-0.00353950672095038,0.0178267599253578,-1.98065771166145,0.0133462970571536,0.0104502166987893,-0.00340812683906389,-0.00529505228498084,0.00484574161299289,-0.00241570816139913,1.97665487914917,1.96796786673,1.98155639163399,1.98990249088922,0.000121763393180263,-0.00338851191990641,0.00552925844437357,0.00385794165246045,-1.99211287116494,0.0156297749709361,0.00300794717423625,-1.99607185441992,-1.99832924353081,0.0154025528176385
"hesperidin",NA,NA,NA,NA,NA,NA,NA,NA,NA,9.96492404757854e-05,-0.00474914082987687,0.0106859605101082,1.98075129945752,0.00835024627364411,1.96561695377109,0.0121846473308026,-1.98089621088584,0.00370363057585654,0.00909532635490451,1.96446947394148,0.00938593275719646,0.0120505746880099,0.00972155680276543,0.0139640230919871,-0.000657307787044981,1.99282793178192,-1.99255947581729,0.00930245138226427,-1.98635635526056,0.00895263773573707,0.00354522703273275,1.97196488291466,0.0135443190500696,-0.000832177580983862,0.00513929790183087,-1.99267542445975,-0.00819250378924974,0.010486212010282,-1.99416567935437,-0.00532008079758539,1.95985156679398,-0.00761874113602068,-0.00341046106142417,-1.98394389885326,1.97501616372339,0.0104630856998446,0.00744323267302838,1.96343709964682,0.00824893683657379,0.00141818855420173,-1.98505277575387,-1.9873053432321,0.020344512264151,0.00743448860115836,0.00141340159288417,1.98288551952289,1.98234726454331,-0.00273857298538627,-1.97870925326713,-1.99259424727189,-1.98593743530322,0.000475045941799035,1.97199869607575,0.00569056351794417,1.96056577153353,1.97900028950729,-1.98680660450951,1.97625903759686,0.00312114214514214,0.00265813549248273,-1.97626350759527,0.00154628877797247,-1.98693125328386,-1.98464360914372,-1.98023883789788,1.98316034850648,1.98021549333092,1.96970324317966,0.000233668663266573,1.9765563051044,0.00590070825011002,1.97854628877421,0.00149208147290714,-1.98730892378114,0.0143269548991539,0.0100569888368104,0.00168075031740822,0.00646500553984342,1.98688261212457,1.99041279628176,-1.98990719299571,1.9950977044219,0.0111724773754471,0.00745229962848593,0.0318245452840739,-0.00112105639335147,-1.99250869599655,-1.98670370813671,0.00225442260165087,0.00616559496004987,-1.98601105312233
"fenofibrate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.98189396200729,1.97250758121362,1.98238525657624,1.98398052305964,0.000276420773272168,0.015398046430992,-1.97522216602692,0.00164030377461932,-1.9860741784282,0.00691810152933103,-1.97235662404332,0.0077403247011556,1.98293034337129,0.0141048873317248,0.00867560426673253,-1.9740797858623,0.00364104540874166,-1.97521049552512,-0.00467514249070911,-0.0086513037208471,1.97934499923148,1.97392749771901,1.97511198307178,-1.9825127025134,1.98041623882128,1.98636790203174,0.0190854674521475,1.97968105894664,-0.000792612409822535,0.00419456562523535,1.98207577339801,-0.0142217288198128,1.98336561178217,-0.014549824661386,1.98146530089587,-1.97716390259572,0.0108297604475023,0.00336441121851971,1.9904406099297,1.98696823576384,0.00836721931241213,0.013497634240177,0.000768653000957964,1.98486611911753,0.00969720973437405,0.00345086172614928,1.97168492720289,1.97685601953529,1.97900992473946,0.00287284927158715,0.0112916422643188,0.00197272669659931,-0.00346775774873809,0.000583315519480876,-0.00626570735627086,1.98224486518311,1.98467942148438,-1.99399431156407,-0.00552964863409844,-1.97935738375614,0.017086114366647,-0.00286619236505692,0.0230597195150548,1.98055239679951,-0.00215074675817173,0.00556440006746983,0.00114171934366836,-0.0169812126109485,0.00474884896433736,-1.99221195109295,1.9755608731019,-1.98179360867025,0.00209322758200248,1.97929267114125,0.00218669596527044,1.99320412259695,1.9843635392622,0.00514148204285514,-0.00525729509859729,-1.98760884585748,-1.98228447007629,1.97667178992783,0.00611012845447045,0.00491765808381783,1.98737788057419,1.98439463023198,1.96611603691093,-0.00520068486489544,1.97690482502444,0.00991582322401063,-0.005412650592024
